ScanNumber	ScanTypeName	ScanType
1037	HMS	1
1038	CID-MSn	2
1039	CID-MSn	2
1040	CID-MSn	2
1041	HMS	1
1042	CID-MSn	2
1043	CID-MSn	2
1044	CID-MSn	2
1045	HMS	1
1046	CID-MSn	2
1047	CID-MSn	2
1048	CID-MSn	2
1049	HMS	1
1050	CID-MSn	2
1051	CID-MSn	2
1052	CID-MSn	2
1053	HMS	1
1054	CID-MSn	2
1055	CID-MSn	2
1056	CID-MSn	2
1057	HMS	1
1058	CID-MSn	2
1059	CID-MSn	2
1060	CID-MSn	2
1061	HMS	1
1062	CID-MSn	2
1063	CID-MSn	2
1064	CID-MSn	2
1065	HMS	1
1066	CID-MSn	2
1067	CID-MSn	2
1068	CID-MSn	2
1069	HMS	1
1070	CID-MSn	2
1071	CID-MSn	2
1072	CID-MSn	2
1073	HMS	1
1074	CID-MSn	2
1075	CID-MSn	2
1076	CID-MSn	2
1077	HMS	1
1078	CID-MSn	2
1079	CID-MSn	2
1080	CID-MSn	2
1081	HMS	1
1082	CID-MSn	2
1083	CID-MSn	2
1084	CID-MSn	2
1085	HMS	1
1086	CID-MSn	2
1087	CID-MSn	2
1088	CID-MSn	2
1089	HMS	1
1090	CID-MSn	2
1091	CID-MSn	2
1092	CID-MSn	2
1093	HMS	1
1094	CID-MSn	2
1095	CID-MSn	2
1096	CID-MSn	2
1097	HMS	1
1098	CID-MSn	2
1099	CID-MSn	2
1100	CID-MSn	2
1101	HMS	1
1102	CID-MSn	2
1103	CID-MSn	2
1104	CID-MSn	2
1105	HMS	1
1106	CID-MSn	2
1107	CID-MSn	2
1108	CID-MSn	2
1109	HMS	1
1110	CID-MSn	2
1111	CID-MSn	2
1112	CID-MSn	2
1113	HMS	1
1114	CID-MSn	2
1115	CID-MSn	2
1116	CID-MSn	2
1117	HMS	1
1118	CID-MSn	2
1119	CID-MSn	2
1120	CID-MSn	2
1121	HMS	1
1122	CID-MSn	2
1123	CID-MSn	2
1124	CID-MSn	2
1125	HMS	1
1126	CID-MSn	2
1127	CID-MSn	2
1128	CID-MSn	2
1129	HMS	1
1130	CID-MSn	2
1131	CID-MSn	2
1132	CID-MSn	2
1133	HMS	1
1134	CID-MSn	2
1135	CID-MSn	2
1136	CID-MSn	2
1137	HMS	1
1138	CID-MSn	2
1139	CID-MSn	2
1140	CID-MSn	2
1141	HMS	1
1142	CID-MSn	2
1143	CID-MSn	2
1144	CID-MSn	2
1145	HMS	1
1146	CID-MSn	2
1147	CID-MSn	2
1148	CID-MSn	2
1149	HMS	1
1150	CID-MSn	2
1151	CID-MSn	2
1152	CID-MSn	2
1153	HMS	1
1154	CID-MSn	2
1155	CID-MSn	2
1156	CID-MSn	2
1157	HMS	1
1158	CID-MSn	2
1159	CID-MSn	2
1160	CID-MSn	2
1161	HMS	1
1162	CID-MSn	2
1163	CID-MSn	2
1164	CID-MSn	2
1165	HMS	1
1166	CID-MSn	2
1167	CID-MSn	2
1168	CID-MSn	2
1169	HMS	1
1170	CID-MSn	2
1171	CID-MSn	2
1172	CID-MSn	2
1173	HMS	1
1174	CID-MSn	2
1175	CID-MSn	2
1176	CID-MSn	2
1177	HMS	1
1178	CID-MSn	2
1179	CID-MSn	2
1180	CID-MSn	2
1181	HMS	1
1182	CID-MSn	2
1183	CID-MSn	2
1184	CID-MSn	2
1185	HMS	1
1186	CID-MSn	2
1187	CID-MSn	2
1188	CID-MSn	2
1189	HMS	1
1190	CID-MSn	2
1191	CID-MSn	2
1192	CID-MSn	2
1193	HMS	1
1194	CID-MSn	2
1195	CID-MSn	2
1196	CID-MSn	2
1197	HMS	1
1198	CID-MSn	2
1199	CID-MSn	2
1200	CID-MSn	2
1201	HMS	1
1202	CID-MSn	2
1203	CID-MSn	2
1204	CID-MSn	2
1205	HMS	1
1206	CID-MSn	2
1207	CID-MSn	2
1208	CID-MSn	2
1209	HMS	1
1210	CID-MSn	2
1211	CID-MSn	2
1212	CID-MSn	2
1213	HMS	1
1214	CID-MSn	2
1215	CID-MSn	2
1216	CID-MSn	2
1217	HMS	1
1218	CID-MSn	2
1219	CID-MSn	2
1220	CID-MSn	2
1221	HMS	1
1222	CID-MSn	2
1223	CID-MSn	2
1224	CID-MSn	2
1225	HMS	1
1226	CID-MSn	2
1227	CID-MSn	2
1228	CID-MSn	2
1229	HMS	1
1230	CID-MSn	2
1231	CID-MSn	2
1232	CID-MSn	2
1233	HMS	1
1234	CID-MSn	2
1235	CID-MSn	2
1236	CID-MSn	2
1237	HMS	1
1238	CID-MSn	2
1239	CID-MSn	2
1240	CID-MSn	2
1241	HMS	1
1242	CID-MSn	2
1243	CID-MSn	2
1244	CID-MSn	2
1245	HMS	1
1246	CID-MSn	2
1247	CID-MSn	2
1248	CID-MSn	2
1249	HMS	1
1250	CID-MSn	2
1251	CID-MSn	2
1252	CID-MSn	2
1253	HMS	1
1254	CID-MSn	2
1255	CID-MSn	2
1256	CID-MSn	2
1257	HMS	1
1258	CID-MSn	2
1259	CID-MSn	2
1260	CID-MSn	2
1261	HMS	1
1262	CID-MSn	2
1263	CID-MSn	2
1264	CID-MSn	2
1265	HMS	1
1266	CID-MSn	2
1267	CID-MSn	2
1268	CID-MSn	2
1269	HMS	1
1270	CID-MSn	2
1271	CID-MSn	2
1272	CID-MSn	2
1273	HMS	1
1274	CID-MSn	2
1275	CID-MSn	2
1276	CID-MSn	2
1277	HMS	1
1278	CID-MSn	2
1279	CID-MSn	2
1280	CID-MSn	2
1281	HMS	1
1282	CID-MSn	2
1283	CID-MSn	2
1284	CID-MSn	2
1285	HMS	1
1286	CID-MSn	2
1287	CID-MSn	2
1288	CID-MSn	2
1289	HMS	1
1290	CID-MSn	2
1291	CID-MSn	2
1292	CID-MSn	2
1293	HMS	1
1294	CID-MSn	2
1295	CID-MSn	2
1296	CID-MSn	2
1297	HMS	1
1298	CID-MSn	2
1299	CID-MSn	2
1300	CID-MSn	2
1301	HMS	1
1302	CID-MSn	2
1303	CID-MSn	2
1304	CID-MSn	2
1305	HMS	1
1306	CID-MSn	2
1307	CID-MSn	2
1308	CID-MSn	2
1309	HMS	1
1310	CID-MSn	2
1311	CID-MSn	2
1312	CID-MSn	2
1313	HMS	1
1314	CID-MSn	2
1315	CID-MSn	2
1316	CID-MSn	2
1317	HMS	1
1318	CID-MSn	2
1319	CID-MSn	2
1320	CID-MSn	2
1321	HMS	1
1322	CID-MSn	2
1323	CID-MSn	2
1324	CID-MSn	2
1325	HMS	1
1326	CID-MSn	2
