ScanNumber	ScanTime	ScanType	ScanTypeName	PrecursorMz	ScanFilterText
2858	27.441	2	CID-MSn	323.68	ITMS + c NSI d Full ms2 323.68@cid35.00 [75.00-1305.00]
2859	27.4511	2	CID-MSn	471.94	ITMS + c NSI d Full ms2 471.94@cid35.00 [115.00-1430.00]
2860	27.4621	2	CID-MSn	577.36	ITMS + c NSI d Full ms2 577.36@cid35.00 [145.00-1165.00]
2861	27.4741	2	CID-MSn	501.82	ITMS + c NSI d Full ms2 501.82@cid35.00 [125.00-1015.00]
2862	27.4861	2	CID-MSn	313.68	ITMS + c NSI d Full ms2 313.68@cid35.00 [75.00-640.00]
2863	27.4973	2	CID-MSn	334.88	ITMS + c NSI d Full ms2 334.88@cid35.00 [80.00-1015.00]
2864	27.5092	2	CID-MSn	433.77	ITMS + c NSI d Full ms2 433.77@cid35.00 [105.00-880.00]
2865	27.5208	2	CID-MSn	453.74	ITMS + c NSI d Full ms2 453.74@cid35.00 [110.00-920.00]
2867	27.5384	2	CID-MSn	317.19	ITMS + c NSI d Full ms2 317.19@cid35.00 [75.00-645.00]
2868	27.5436	2	CID-MSn	344.87	ITMS + c NSI d Full ms2 344.87@cid35.00 [80.00-1045.00]
2869	27.5501	2	CID-MSn	531.32	ITMS + c NSI d Full ms2 531.32@cid35.00 [135.00-1075.00]
2870	27.5571	2	CID-MSn	337.19	ITMS + c NSI d Full ms2 337.19@cid35.00 [80.00-1025.00]
2871	27.5655	2	CID-MSn	372.26	ITMS + c NSI d Full ms2 372.26@cid35.00 [90.00-755.00]
2872	27.5741	2	CID-MSn	322.19	ITMS + c NSI d Full ms2 322.19@cid35.00 [75.00-655.00]
2873	27.5851	2	CID-MSn	364.86	ITMS + c NSI d Full ms2 364.86@cid35.00 [90.00-1105.00]
2874	27.5914	2	CID-MSn	505.29	ITMS + c NSI d Full ms2 505.29@cid35.00 [125.00-1025.00]
2875	27.6033	2	CID-MSn	417.24	ITMS + c NSI d Full ms2 417.24@cid35.00 [100.00-1265.00]
2876	27.6152	2	CID-MSn	439.25	ITMS + c NSI d Full ms2 439.25@cid35.00 [110.00-1330.00]
2878	27.634	2	CID-MSn	306.19	ITMS + c NSI d Full ms2 306.19@cid35.00 [70.00-930.00]
2879	27.6405	2	CID-MSn	331.2	ITMS + c NSI d Full ms2 331.20@cid35.00 [80.00-1005.00]
2880	27.647	2	CID-MSn	545.78	ITMS + c NSI d Full ms2 545.78@cid35.00 [140.00-1105.00]
2881	27.6559	2	CID-MSn	458.78	ITMS + c NSI d Full ms2 458.78@cid35.00 [115.00-930.00]
2882	27.6668	2	CID-MSn	348.54	ITMS + c NSI d Full ms2 348.54@cid35.00 [85.00-1060.00]
2883	27.6769	2	CID-MSn	481.61	ITMS + c NSI d Full ms2 481.61@cid35.00 [120.00-1455.00]
2884	27.6882	2	CID-MSn	518.96	ITMS + c NSI d Full ms2 518.96@cid35.00 [130.00-1570.00]
2885	27.6968	2	CID-MSn	438.26	ITMS + c NSI d Full ms2 438.26@cid35.00 [110.00-890.00]
2886	27.7081	2	CID-MSn	486.6	ITMS + c NSI d Full ms2 486.60@cid35.00 [120.00-1470.00]
2887	27.7209	2	CID-MSn	325.53	ITMS + c NSI d Full ms2 325.53@cid35.00 [75.00-990.00]
2889	27.7369	2	CID-MSn	354.55	ITMS + c NSI d Full ms2 354.55@cid35.00 [85.00-1075.00]
2890	27.7427	2	CID-MSn	364.19	ITMS + c NSI d Full ms2 364.19@cid35.00 [90.00-1105.00]
2891	27.7486	2	CID-MSn	315.51	ITMS + c NSI d Full ms2 315.51@cid35.00 [75.00-960.00]
2892	27.7551	2	CID-MSn	570.36	ITMS + c NSI d Full ms2 570.36@cid35.00 [145.00-1155.00]
